Deeded_Acreage,Year_Built,HEATED_AREA,Accrued_Assessed_Condition_Pct
0.51,1973,1600,84
0.49,1993,1225,83
0.5,2009,1902,90
0.46,1975,1176,70
0.48,1976,1562,71
0.26,1973,1380,69
0.36,1969,2390,92
0.46,1957,4116,27
0.44,1969,2865,39
0.39,1966,1444,68
0.38,1971,1386,73
0.34,1969,2423,95
0.27,1969,2134,73
0.28,1959,975,54
1.01,1940,672,57
0.3,1967,2000,66
0.13,1920,1488,75
0.48,1965,3483,70
0.37,1959,2272,67
0.33,2016,4502,96
0.22,1941,916,37
0.1,1945,1278,8
0.27,1965,1354,91
0.48,1993,1271,67
0.46,1960,1792,70
0.33,1969,1968,69
1.59,1960,3056,62
0.23,1944,1110,66
0.49,1971,1591,79
0.52,2007,4179,91
0.5,1949,1943,72
0.35,2018,4362,96
0.55,1967,2546,82
0.33,1967,2070,91
0.29,1967,1008,66
0.21,2019,2182,97
0.24,1957,1202,78
0.41,1966,2158,73
0.28,1962,1752,70
0.32,1969,1804,75
0.58,1971,1443,69
0.44,1960,1545,34
0.44,1971,2820,73
0.69,1967,1144,66
0.43,1953,1848,3
0.64,1956,2732,87
0.39,1971,1296,73
0.51,1962,2606,35
0.45,1966,3510,59
0.73,1901,4646,78
0.39,1956,2346,33
0.23,1925,1376,26
0.87,1970,3015,84
0.38,1966,1773,76
0.44,1962,1870,16
0.31,1966,1937,65
0.26,2015,1566,94
0.43,1958,1221,69
0.31,1964,1674,64
0.35,1958,1649,71
0.48,1962,1450,63
0.66,1960,1898,20
0.18,1941,1306,91
1.34,1965,2226,65
0.31,1961,2326,54
0.47,1971,1984,88
0.36,1967,1771,71
1,1969,1674,72
0.48,1959,1569,72
0.51,1962,2119,73
0.26,1967,1231,70
0.47,1967,3997,73
0.29,1950,750,80
0.3,1958,1614,73
0.09,1930,1223,96
1.07,1964,2656,57
0.49,1961,1566,71
0.2,1963,1080,60
0.29,1971,3055,93
0.15,1908,3518,60
0.34,1952,1048,60
0.34,1952,575,60
0.35,1983,1125,74
0.6,1900,2278,84
0.28,1958,795,84
0.31,1957,2550,63
2.03,1971,3613,66
0.69,1971,1650,61
0.21,1961,1291,91
